OBJECTID,NAME,NBR,STREETADDR,CITY,ZIP,TYPE,GCSCORE,GCMETHOD,DAFID,POINT_X,POINT_Y,x,y
2321,APPLE CREEK BULK FOOD CO,,875 N MAIN,WILLARD,84340,Grocery Store,90.9199981689453,AddressPoints.AddressGrid,R100050,413409.323908503,4586415.89824945,413409.3239,4586415.8982
2322,DOLLAR TREE,5036,643 W 700 N,LINDON,84042,Convenience Grocery,100,AddressPoints.AddressGrid,R100184,437785.544599147,4466987.67619725,437785.5446,4466987.6762
2323,379 SOUTH CORNER MARKET LLC,,379 S 300 W,SALT LAKE CITY,84101,Convenience Grocery,100,AddressPoints.AddressGrid,R100188,424090.271547312,4512611.22709764,424090.2715,4512611.2271
2324,MAKING SCENTS,,290 25TH ST STE 103,OGDEN,84401,Retail,100,AddressPoints.AddressGrid,R100214,418394.220000831,4563742.89494111,418394.22,4563742.8949
2325,GNC,1722,1268 S HIGHWAY 189,HEBER CITY,84032,Health Food,100,AddressPoints.AddressGrid,R100321,464709.379708717,4482620.26696149,464709.3797,4482620.267
2326,REJUVIUM CORPORATION,,11075 S STATE STE 33,SANDY,84070,Convenience Grocery,90.9199981689453,AddressPoints.AddressGrid,R100330,424599.994909525,4489176.11340157,424599.9949,4489176.1134
2327,TRADER JOE`S COMPANY,,634 E 400 S,SALT LAKE CITY,84101,Grocery Store,100,AddressPoints.AddressGrid,R100331,426321.436337749,4512467.84325585,426321.4363,4512467.8433
2328,WALGREENS,15289,4515 S 900 E,SALT LAKE CITY,84117,Convenience Grocery,100,Centerlines.StatewideRoads,R100360,426863.459736073,4502910.07668509,426863.4597,4502910.0767
2329,GREEN TEA COMPANY,,1076 LAYTON HILLS MALL,LAYTON,84041,Health Food,,Manually Placed,R100750,417888,4547908,417888,4547908
2330,CANYON MARKET,,95 ZION PARK BLVD,SPRINGDALE,84767,Grocery Store,100,AddressPoints.AddressGrid,R100815,323477.583343974,4118817.58523945,323477.5833,4118817.5852
2331,FAMILY DOLLAR INC,29401,50 N 900 W,SALT LAKE CITY,84116,Convenience Grocery,100,AddressPoints.AddressGrid,R100954,422663.686550315,4513684.14865809,422663.6866,4513684.1487
2332,WAL-MART STORE,5763,3590 W S JORDAN PKWY,SOUTH JORDAN,84095,Supermarket,100,AddressPoints.AddressGrid,R101090,417409.85004011,4490693.76990075,417409.85,4490693.7699
